,SPEC,AMD EPYC Milan,AMD EPYC Rome,Haswell,Broadwell,Cascade Lake,Ice Lake,Skylake,Ivy Bridge,Sandy Bridge
Nodes,2.2912751677852348,1.4736842105263157,1.5277777777777777,1.5625,3.176470588235294,3.2533333333333334,1.3157894736842106,3.5308641975308643,5.0,2.1515151515151514
Chips,5.842953020134228,2.6315789473684212,2.3333333333333335,3.25,6.470588235294118,8.0,2.6315789473684212,8.074074074074074,10.0,4.492424242424242
MHz,2520.4604026845636,2426.315789473684,2166.6666666666665,2287.5,2188.235294117647,2585.3333333333335,2278.9473684210525,2393.8271604938273,2200.0,2350.0
Cores,86.73288590604027,168.42105263157896,149.33333333333334,58.5,128.47058823529412,221.81333333333333,89.26315789473684,223.9506172839506,100.0,37.57575757575758
watts per thread idle,5.227973154362417,0.4357894736842105,0.47388888888888886,0.6737500000000001,0.7123529411764706,0.7124,0.9005263157894736,0.6276543209876544,1.7066666666666668,2.1704545454545454
watts per thread max,11.567127516778521,1.9857894736842108,1.6927777777777777,3.898125,3.684117647058823,4.0481333333333325,4.076842105263157,4.130246913580247,5.5566666666666675,8.500151515151515
watts per core idle,6.8033959731543625,0.8705263157894736,0.9480555555555554,1.34625,1.4264705882352944,1.4234666666666667,1.8036842105263156,1.2556790123456791,3.4133333333333327,4.226818181818182
watts per core max,17.153208053691277,3.9710526315789476,3.3858333333333333,7.796875,7.371176470588234,8.096133333333333,8.153684210526315,8.26037037037037,11.113333333333335,16.654772727272725
threads per core,1.7997718120805368,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9797727272727272
cloud jewels,8.397550335570468,1.2107894736842106,1.0833333333333333,2.2859375,2.198235294117647,2.380266666666666,2.4886842105263156,2.3789506172839507,3.631666666666667,5.335303030303031
minimum year,2007.0,2021.0,2019.0,2014.0,2016.0,2019.0,2021.0,2015.0,2013.0,2011.0
maximum year,2021.0,2021.0,2020.0,2016.0,2017.0,2021.0,2021.0,2020.0,2014.0,2014.0
median year,2012.0,2021.0,2020.0,2015.0,2016.0,2019.0,2021.0,2018.0,2013.0,2012.0
