Nodes,3.176470588235294
Chips,6.470588235294118
MHz,2188.235294117647
Total Memory (GB),764.2352941176471
Cores,128.47058823529412
Total Threads,256.94117647058823
avg. watts @ active idle,126.81333333333332
avg. watts @ 100%,288.3333333333333
watts per thread idle,0.5366666666666666
watts per thread max,3.040833333333333
watts per core idle,1.0746666666666667
watts per core max,6.083333333333335
threads per core,2.0
cloud jewels,1.5383333333333333
minimum year,2016.0
maximum year,2017.0
median year,2016.0
