processor,company,brand,make,model,moniker,version
Xeon Silver 4309Y,,xeon,silver,4309,y,
Xeon Silver 4310,,xeon,silver,4310,,
Xeon Silver 4310T,,xeon,silver,4310,t,
Xeon Silver 4314,,xeon,silver,4314,,
Xeon Silver 4316,,xeon,silver,4316,,
Xeon Gold 5315Y,,xeon,gold,5315,y,
Xeon Gold 5317,,xeon,gold,5317,,
Xeon Gold 5318N,,xeon,gold,5318,n,
Xeon Gold 5318S,,xeon,gold,5318,s,
Xeon Gold 5318Y,,xeon,gold,5318,y,
Xeon Gold 5320,,xeon,gold,5320,,
Xeon Gold 5320T,,xeon,gold,5320,t,
Xeon Gold 6326,,xeon,gold,6326,,
Xeon Gold 6330,,xeon,gold,6330,,
Xeon Gold 6330N,,xeon,gold,6330,n,
Xeon Gold 6334,,xeon,gold,6334,,
Xeon Gold 6336Y,,xeon,gold,6336,y,
Xeon Gold 6338,,xeon,gold,6338,,
Xeon Gold 6338N,,xeon,gold,6338,n,
Xeon Gold 6338T,,xeon,gold,6338,t,
Xeon Gold 6342,,xeon,gold,6342,,
Xeon Gold 6346,,xeon,gold,6346,,
Xeon Gold 6348,,xeon,gold,6348,,
Xeon Gold 6354,,xeon,gold,6354,,
Xeon Platinum 8351N,,xeon,platinum,8351,n,
Xeon Platinum 8352M,,xeon,platinum,8352,m,
Xeon Platinum 8352S,,xeon,platinum,8352,s,
Xeon Platinum 8352V,,xeon,platinum,8352,v,
Xeon Platinum 8352Y,,xeon,platinum,8352,y,
Xeon Platinum 8358,,xeon,platinum,8358,,
Xeon Platinum 8358P,,xeon,platinum,8358,p,
Xeon Platinum 8360Y,,xeon,platinum,8360,y,
Xeon Platinum 8362,,xeon,platinum,8362,,
Xeon Platinum 8368,,xeon,platinum,8368,,
Xeon Platinum 8368Q,,xeon,platinum,8368,q,
Xeon Platinum 8380,,xeon,platinum,8380,,
Xeon W-3323,,xeon,,w-3323,,
Xeon W-3335,,xeon,,w-3335,,
Xeon W-3345,,xeon,,w-3345,,
Xeon W-3365,,xeon,,w-3365,,
Xeon W-3375,,xeon,,w-3375,,
